instrument,timeframe,timestamp,open,high,low,close
SPX500,M15,2023-06-01 01:00:00+00:00,4183.24,4183.99,4181.74,4183.24
SPX500,M15,2023-06-01 01:15:00+00:00,4183.24,4184.74,4182.74,4183.24
SPX500,M15,2023-06-01 01:30:00+00:00,4183.24,4184.74,4182.74,4183.49
SPX500,M15,2023-06-01 01:45:00+00:00,4183.49,4186.49,4182.99,4186.24
SPX500,M15,2023-06-01 02:00:00+00:00,4186.49,4187.49,4184.99,4185.24
SPX500,M15,2023-06-01 02:15:00+00:00,4185.24,4186.49,4185.24,4185.74
SPX500,M15,2023-06-01 02:30:00+00:00,4185.74,4188.49,4185.74,4188.24
SPX500,M15,2023-06-01 02:45:00+00:00,4188.24,4190.49,4188.24,4189.99
SPX500,M15,2023-06-01 03:00:00+00:00,4189.99,4191.24,4188.49,4190.24
SPX500,M15,2023-06-01 03:15:00+00:00,4190.24,4190.74,4189.24,4189.24
SPX500,M15,2023-06-01 03:30:00+00:00,4189.24,4189.74,4183.99,4184.49
SPX500,M15,2023-06-01 03:45:00+00:00,4184.49,4184.74,4181.49,4183.49
SPX500,M15,2023-06-01 04:00:00+00:00,4183.49,4185.49,4183.24,4184.49
SPX500,M15,2023-06-01 04:15:00+00:00,4184.49,4195.74,4183.74,4190.99
SPX500,M15,2023-06-01 04:30:00+00:00,4190.99,4191.49,4181.74,4182.74
SPX500,M15,2023-06-01 04:45:00+00:00,4182.49,4183.74,4176.24,4183.24
SPX500,M15,2023-06-01 05:00:00+00:00,4183.24,4184.74,4181.49,4182.24
SPX500,M15,2023-06-01 05:15:00+00:00,4182.24,4183.24,4178.49,4180.99
SPX500,M15,2023-06-01 05:30:00+00:00,4181.24,4184.74,4181.24,4184.74
SPX500,M15,2023-06-01 05:45:00+00:00,4184.74,4185.49,4182.24,4184.24
SPX500,M15,2023-06-01 06:00:00+00:00,4184.49,4187.24,4183.74,4185.24
SPX500,M15,2023-06-01 06:15:00+00:00,4185.24,4186.99,4184.74,4186.49
SPX500,M15,2023-06-01 06:30:00+00:00,4186.49,4187.24,4185.99,4186.99
SPX500,M15,2023-06-01 06:45:00+00:00,4186.99,4187.24,4184.24,4186.49
SPX500,M15,2023-06-01 07:00:00+00:00,4186.74,4187.24,4185.99,4186.99
SPX500,M15,2023-06-01 07:15:00+00:00,4186.99,4189.49,4186.74,4187.99
SPX500,M15,2023-06-01 07:30:00+00:00,4187.99,4188.99,4187.49,4187.49
SPX500,M15,2023-06-01 07:45:00+00:00,4187.49,4187.49,4186.49,4186.74
SPX500,M15,2023-06-01 08:00:00+00:00,4186.74,4189.24,4186.74,4188.24
SPX500,M15,2023-06-01 08:15:00+00:00,4188.24,4189.24,4187.49,4188.74
SPX500,M15,2023-06-01 08:30:00+00:00,4188.99,4189.49,4187.74,4187.99
SPX500,M15,2023-06-01 08:45:00+00:00,4187.99,4189.24,4187.49,4187.74
SPX500,M15,2023-06-01 09:00:00+00:00,4187.74,4190.49,4185.74,4190.49
SPX500,M15,2023-06-01 09:15:00+00:00,4190.49,4190.49,4188.24,4189.74
SPX500,M15,2023-06-01 09:30:00+00:00,4189.74,4190.74,4188.49,4189.49
SPX500,M15,2023-06-01 09:45:00+00:00,4189.74,4190.74,4188.74,4189.49
SPX500,M15,2023-06-01 10:00:00+00:00,4189.49,4193.49,4186.99,4192.99
SPX500,M15,2023-06-01 10:15:00+00:00,4192.99,4193.99,4190.24,4192.74
SPX500,M15,2023-06-01 10:30:00+00:00,4192.74,4193.74,4190.74,4190.74
SPX500,M15,2023-06-01 10:45:00+00:00,4190.74,4191.74,4188.99,4189.49
SPX500,M15,2023-06-01 11:00:00+00:00,4189.49,4190.24,4185.24,4187.49
SPX500,M15,2023-06-01 11:15:00+00:00,4187.49,4189.49,4185.49,4188.99
SPX500,M15,2023-06-01 11:30:00+00:00,4188.99,4191.74,4188.99,4191.24
SPX500,M15,2023-06-01 11:45:00+00:00,4191.24,4194.49,4191.24,4193.49
