instrument,timeframe,timestamp,open,high,low,close
XAUUSD,M15,2025-01-02 01:00:00+00:00,2624.53,2625.63,2624.28,2624.63
XAUUSD,M15,2025-01-02 01:15:00+00:00,2624.63,2625.0,2623.39,2623.64
XAUUSD,M15,2025-01-02 01:30:00+00:00,2623.64,2623.88,2622.1,2622.12
XAUUSD,M15,2025-01-02 01:45:00+00:00,2621.82,2624.35,2621.61,2623.69
XAUUSD,M15,2025-01-02 02:00:00+00:00,2623.87,2626.17,2622.71,2625.68
XAUUSD,M15,2025-01-02 02:15:00+00:00,2625.68,2626.46,2625.13,2626.3
XAUUSD,M15,2025-01-02 02:30:00+00:00,2626.3,2627.52,2625.39,2626.91
XAUUSD,M15,2025-01-02 02:45:00+00:00,2626.91,2627.89,2625.36,2625.39
XAUUSD,M15,2025-01-02 03:00:00+00:00,2625.4,2630.86,2623.83,2629.6
XAUUSD,M15,2025-01-02 03:15:00+00:00,2629.49,2633.01,2629.41,2632.64
XAUUSD,M15,2025-01-02 03:30:00+00:00,2632.63,2634.44,2632.37,2633.49
XAUUSD,M15,2025-01-02 03:45:00+00:00,2633.22,2633.54,2631.61,2632.98
XAUUSD,M15,2025-01-02 04:00:00+00:00,2632.97,2634.82,2632.65,2634.58
XAUUSD,M15,2025-01-02 04:15:00+00:00,2634.56,2636.46,2633.87,2635.62
XAUUSD,M15,2025-01-02 04:30:00+00:00,2635.62,2635.79,2632.68,2633.43
XAUUSD,M15,2025-01-02 04:45:00+00:00,2633.43,2635.33,2632.32,2634.72
XAUUSD,M15,2025-01-02 05:00:00+00:00,2634.67,2635.38,2633.1,2633.13
XAUUSD,M15,2025-01-02 05:15:00+00:00,2633.13,2634.74,2632.95,2633.36
XAUUSD,M15,2025-01-02 05:30:00+00:00,2633.39,2634.16,2632.32,2633.38
XAUUSD,M15,2025-01-02 05:45:00+00:00,2633.38,2633.78,2632.72,2633.55
XAUUSD,M15,2025-01-02 06:00:00+00:00,2633.57,2633.61,2632.11,2632.32
XAUUSD,M15,2025-01-02 06:15:00+00:00,2632.28,2633.17,2632.11,2632.41
XAUUSD,M15,2025-01-02 06:30:00+00:00,2632.44,2632.81,2632.02,2632.18
XAUUSD,M15,2025-01-02 06:45:00+00:00,2632.18,2634.16,2631.07,2634.0
XAUUSD,M15,2025-01-02 07:00:00+00:00,2634.0,2634.32,2633.11,2633.37
XAUUSD,M15,2025-01-02 07:15:00+00:00,2633.37,2635.32,2633.35,2634.91
XAUUSD,M15,2025-01-02 07:30:00+00:00,2634.91,2636.44,2634.6,2634.94
XAUUSD,M15,2025-01-02 07:45:00+00:00,2634.93,2635.32,2633.99,2634.07
XAUUSD,M15,2025-01-02 08:00:00+00:00,2634.08,2634.08,2631.52,2631.81
XAUUSD,M15,2025-01-02 08:15:00+00:00,2631.82,2634.42,2631.28,2634.24
XAUUSD,M15,2025-01-02 08:30:00+00:00,2634.24,2634.67,2633.45,2634.13
XAUUSD,M15,2025-01-02 08:45:00+00:00,2634.12,2635.38,2633.57,2634.12
XAUUSD,M15,2025-01-02 09:00:00+00:00,2634.16,2635.03,2633.62,2634.38
XAUUSD,M15,2025-01-02 09:15:00+00:00,2634.38,2635.92,2633.51,2634.35
XAUUSD,M15,2025-01-02 09:30:00+00:00,2634.36,2634.36,2633.04,2633.66
XAUUSD,M15,2025-01-02 09:45:00+00:00,2633.66,2635.96,2633.01,2635.96
XAUUSD,M15,2025-01-02 10:00:00+00:00,2635.96,2636.99,2633.94,2635.12
XAUUSD,M15,2025-01-02 10:15:00+00:00,2635.12,2635.13,2631.31,2633.27
XAUUSD,M15,2025-01-02 10:30:00+00:00,2633.27,2636.9,2631.09,2636.25
XAUUSD,M15,2025-01-02 10:45:00+00:00,2636.25,2637.73,2635.41,2636.52
XAUUSD,M15,2025-01-02 11:00:00+00:00,2636.52,2639.91,2636.52,2638.25
XAUUSD,M15,2025-01-02 11:15:00+00:00,2638.25,2639.9,2637.24,2637.46
XAUUSD,M15,2025-01-02 11:30:00+00:00,2637.46,2638.41,2636.7,2637.18
XAUUSD,M15,2025-01-02 11:45:00+00:00,2637.18,2637.96,2636.04,2636.13
XAUUSD,M15,2025-01-02 12:00:00+00:00,2636.14,2638.95,2632.76,2638.89
XAUUSD,M15,2025-01-02 12:15:00+00:00,2638.89,2646.28,2638.12,2644.83
XAUUSD,M15,2025-01-02 12:30:00+00:00,2644.75,2645.63,2643.18,2644.02
XAUUSD,M15,2025-01-02 12:45:00+00:00,2644.02,2644.15,2640.45,2642.66
XAUUSD,M15,2025-01-02 13:00:00+00:00,2642.66,2644.61,2642.39,2644.18
XAUUSD,M15,2025-01-02 13:15:00+00:00,2644.17,2644.38,2640.68,2641.77
XAUUSD,M15,2025-01-02 13:30:00+00:00,2641.8,2642.79,2640.32,2642.12
XAUUSD,M15,2025-01-02 13:45:00+00:00,2642.12,2642.59,2641.18,2642.0
XAUUSD,M15,2025-01-02 14:00:00+00:00,2642.01,2642.86,2640.36,2641.04
XAUUSD,M15,2025-01-02 14:15:00+00:00,2641.04,2643.21,2640.53,2642.77
XAUUSD,M15,2025-01-02 14:30:00+00:00,2642.77,2645.23,2642.19,2644.27
XAUUSD,M15,2025-01-02 14:45:00+00:00,2644.27,2646.49,2642.9,2643.36
XAUUSD,M15,2025-01-02 15:00:00+00:00,2643.31,2643.31,2638.4,2638.58
XAUUSD,M15,2025-01-02 15:15:00+00:00,2638.58,2641.06,2636.05,2641.0
XAUUSD,M15,2025-01-02 15:30:00+00:00,2641.0,2641.0,2637.02,2639.23
XAUUSD,M15,2025-01-02 15:45:00+00:00,2639.2,2647.22,2638.28,2642.98
XAUUSD,M15,2025-01-02 16:00:00+00:00,2642.98,2646.91,2640.38,2646.87
XAUUSD,M15,2025-01-02 16:15:00+00:00,2646.89,2649.07,2646.16,2646.29
XAUUSD,M15,2025-01-02 16:30:00+00:00,2646.37,2650.13,2646.37,2649.11
XAUUSD,M15,2025-01-02 16:45:00+00:00,2649.11,2651.01,2646.94,2647.76
XAUUSD,M15,2025-01-02 17:00:00+00:00,2647.56,2649.61,2645.16,2648.57
XAUUSD,M15,2025-01-02 17:15:00+00:00,2648.6,2649.63,2647.56,2648.77
XAUUSD,M15,2025-01-02 17:30:00+00:00,2648.77,2653.64,2648.34,2652.07
XAUUSD,M15,2025-01-02 17:45:00+00:00,2652.03,2655.81,2651.46,2654.14
XAUUSD,M15,2025-01-02 18:00:00+00:00,2654.14,2654.39,2650.03,2653.67
XAUUSD,M15,2025-01-02 18:15:00+00:00,2653.65,2657.99,2653.38,2656.74
XAUUSD,M15,2025-01-02 18:30:00+00:00,2656.7,2658.46,2654.84,2657.53
XAUUSD,M15,2025-01-02 18:45:00+00:00,2657.49,2660.4,2657.45,2659.3
XAUUSD,M15,2025-01-02 19:00:00+00:00,2659.3,2660.39,2658.07,2659.08
XAUUSD,M15,2025-01-02 19:15:00+00:00,2659.08,2659.93,2656.06,2656.35
XAUUSD,M15,2025-01-02 19:30:00+00:00,2656.35,2656.52,2653.07,2653.72
XAUUSD,M15,2025-01-02 19:45:00+00:00,2653.76,2656.74,2652.58,2656.55
XAUUSD,M15,2025-01-02 20:00:00+00:00,2656.56,2658.83,2655.93,2656.8
XAUUSD,M15,2025-01-02 20:15:00+00:00,2656.78,2658.12,2654.99,2654.99
XAUUSD,M15,2025-01-02 20:30:00+00:00,2655.02,2656.2,2653.85,2655.83
XAUUSD,M15,2025-01-02 20:45:00+00:00,2655.83,2656.11,2654.71,2655.45
XAUUSD,M15,2025-01-02 21:00:00+00:00,2655.44,2655.92,2654.29,2654.51
XAUUSD,M15,2025-01-02 21:15:00+00:00,2654.49,2656.06,2653.8,2655.57
XAUUSD,M15,2025-01-02 21:30:00+00:00,2655.56,2657.15,2654.4,2654.94
XAUUSD,M15,2025-01-02 21:45:00+00:00,2654.96,2655.6,2654.34,2654.68
XAUUSD,M15,2025-01-02 22:00:00+00:00,2654.68,2657.23,2654.14,2656.97
XAUUSD,M15,2025-01-02 22:15:00+00:00,2656.96,2660.46,2656.37,2659.98
XAUUSD,M15,2025-01-02 22:30:00+00:00,2659.88,2660.42,2658.71,2659.05
XAUUSD,M15,2025-01-02 22:45:00+00:00,2659.1,2660.03,2659.05,2659.69
XAUUSD,M15,2025-01-02 23:00:00+00:00,2659.72,2660.18,2659.04,2659.04
XAUUSD,M15,2025-01-02 23:15:00+00:00,2658.95,2659.24,2657.84,2658.13
XAUUSD,M15,2025-01-02 23:30:00+00:00,2658.11,2658.4,2656.53,2657.92
XAUUSD,M15,2025-01-02 23:45:00+00:00,2657.92,2658.46,2656.96,2658.12
XAUUSD,M15,2025-01-03 01:00:00+00:00,2658.46,2658.46,2657.24,2658.11
XAUUSD,M15,2025-01-03 01:15:00+00:00,2658.11,2658.97,2657.97,2658.75
XAUUSD,M15,2025-01-03 01:30:00+00:00,2658.75,2659.54,2658.39,2659.15
XAUUSD,M15,2025-01-03 01:45:00+00:00,2659.15,2659.33,2657.77,2658.33
XAUUSD,M15,2025-01-03 02:00:00+00:00,2658.33,2661.01,2658.26,2660.64
XAUUSD,M15,2025-01-03 02:15:00+00:00,2660.64,2661.03,2659.42,2659.71
XAUUSD,M15,2025-01-03 02:30:00+00:00,2659.71,2660.35,2658.66,2659.01
XAUUSD,M15,2025-01-03 02:45:00+00:00,2659.01,2660.94,2658.78,2660.74
XAUUSD,M15,2025-01-03 03:00:00+00:00,2660.74,2662.36,2659.32,2660.84
XAUUSD,M15,2025-01-03 03:15:00+00:00,2660.84,2661.36,2658.04,2658.77
XAUUSD,M15,2025-01-03 03:30:00+00:00,2658.79,2659.11,2656.68,2657.01
XAUUSD,M15,2025-01-03 03:45:00+00:00,2657.01,2660.13,2656.88,2659.41
XAUUSD,M15,2025-01-03 04:00:00+00:00,2659.37,2660.26,2656.24,2659.28
